타임스탬프,학년,성별,학과,취미,휴대폰 이용 시간대,휴대폰 이용 시간,휴대폰으로 주로 하는것,자기 전 1시간 휴대폰 이용,전자기기 제외 주로 뭐 하는지,학교 수업 외로 하루 공부 시간,주로 공부하는 시간,학과 선택 만족,전공 취업 선호도,소셜 미디어 사용 시간,집에서 학교까지 오는시간,학업 스트레스,교우관계,아르바이트,방과후 수업
2023. 10. 12 오후 12:29:44,2,남자,창업마케팅과,음악,밤에(20시~24시),1~3시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,기타,X,5,30-1시간,10-30분,2,3,X,X
2023. 10. 12 오후 12:31:20,3,남자,스마트웹콘텐츠과,기타,저녁에(17시~20시),9시간 이상,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",1시간-2시간,방과후(저녁),O,10,2시간-3시간 이상,1시간-2시간,3,1,X,X
2023. 10. 12 오후 12:32:14,2,여자,창업마케팅과,운동,학교에서(9시~17시),7~9시간,SNS,한다,스포츠 활동,0-30분,밤,O,5,2시간-3시간 이상,10-30분,4,1,O,X
2023. 10. 12 오후 12:33:36,2,남자,창업마케팅과,운동,저녁에(17시~20시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,0-30분,기타,X,3,30-1시간,30-1시간,3,3,X,X
2023. 10. 12 오후 12:34:30,3,남자,소프트웨어개발과,영상시청,밤에(20시~24시),9시간 이상,"영상 시청(유튜브, OTT)",한다,스포츠 활동,2시간-3시간 이상,방과후(저녁),O,9,1시간-2시간,30-1시간,3,3,X,X
2023. 10. 12 오후 12:37:13,2,남자,창업마케팅과,기타,밤에(20시~24시),3~5시간,"영상 시청(유튜브, OTT)",한다,"문화생활(영화, 뮤지컬 등)",0-30분,방과후(저녁),O,7,2시간-3시간 이상,30-1시간,2,2,O,X
2023. 10. 12 오후 12:37:18,3,여자,소프트웨어개발과,게임,아침(6시~9시),9시간 이상,SNS,한다,TV 보기,0-30분,기타,O,3,2시간-3시간 이상,1시간-2시간,2,3,X,X
2023. 10. 12 오후 12:37:32,1,남자,금융경영과,운동,밤에(20시~24시),3~5시간,SNS,한다,스포츠 활동,1시간-2시간,방과후(저녁),O,7,1시간-2시간,1시간-2시간,3,4,X,X
2023. 10. 12 오후 12:38:43,1,남자,금융경영과,운동,저녁에(17시~20시),3~5시간,"영상 시청(유튜브, OTT)",한다,스포츠 활동,1시간-2시간,방과후(저녁),O,10,1시간-2시간,30-1시간,3,1,X,X
2023. 10. 12 오후 12:38:56,1,남자,금융경영과,게임,학교에서(9시~17시),5~7시간,게임,한다,TV 보기,1시간-2시간,방과후(저녁),O,6,30-1시간,30-1시간,3,2,X,X
